x_center,y_center,box_length,score
408.0,758.0,26.0,0.7928676009178162
137.0,949.0,24.0,0.7556347846984863
454.0,259.0,21.0,0.7545049786567688
949.0,659.0,21.0,0.7539434432983398
291.0,768.0,21.0,0.7304731011390686
738.0,481.0,21.0,0.7221313118934631
23.0,695.0,19.0,0.7158781290054321
975.0,310.0,21.0,0.7137961387634277
580.0,281.0,19.0,0.7116965651512146
606.0,1011.0,24.0,0.7100629806518555
313.0,154.0,26.0,0.7088894248008728
144.0,643.0,24.0,0.7051159143447876
510.0,450.0,23.0,0.7041798830032349
212.0,753.0,21.0,0.7025749087333679
148.0,381.0,21.0,0.7023646831512451
469.0,455.0,21.0,0.6958673596382141
585.0,163.0,19.0,0.6949846744537354
27.0,926.0,21.0,0.6946954131126404
16.0,778.0,19.0,0.6914840340614319
826.0,387.0,19.0,0.6896670460700989
692.0,238.0,21.0,0.6864898204803467
462.0,334.0,24.0,0.6801393628120422
621.0,892.0,24.0,0.6790269017219543
215.0,586.0,19.0,0.6787315011024475
364.0,508.0,21.0,0.6736540198326111
399.0,205.0,17.0,0.6725092530250549
659.0,647.0,24.0,0.672243058681488
109.0,255.0,25.0,0.6701231002807617
540.0,526.0,29.0,0.6634930968284607
479.0,203.0,26.0,0.661436915397644
660.0,676.0,21.0,0.6607707142829895
173.0,337.0,21.0,0.6603341102600098
990.0,67.0,26.0,0.657280445098877
573.0,925.0,19.0,0.6491352319717407
38.0,358.0,21.0,0.6481115221977234
644.0,36.0,17.0,0.6472293734550476
27.0,673.0,19.0,0.6448971033096313
703.0,616.0,21.0,0.6438029408454895
450.0,902.0,17.0,0.6412807106971741
194.0,629.0,17.0,0.6411054134368896
989.0,780.0,21.0,0.6386973857879639
160.0,838.0,17.0,0.6328665018081665
428.0,121.0,24.0,0.6317081451416016
311.0,211.0,21.0,0.6286476850509644
103.0,729.0,17.0,0.6277540922164917
800.0,599.0,17.0,0.6246731877326965
231.0,305.0,35.0,0.6240231990814209
572.0,439.0,19.0,0.6239855289459229
845.0,984.0,17.0,0.6219577789306641
221.0,157.0,21.0,0.6215605139732361
804.0,623.0,19.0,0.6204109191894531
534.0,465.0,19.0,0.6171536445617676
309.0,86.0,24.0,0.6156814098358154
691.0,752.0,17.0,0.6148695945739746
483.0,674.0,21.0,0.611855149269104
702.0,156.0,17.0,0.6116355061531067
674.0,146.0,17.0,0.6114261746406555
206.0,706.0,17.0,0.6110045909881592
513.0,343.0,19.0,0.6091288328170776
123.0,464.0,19.0,0.6021168231964111
827.0,680.0,19.0,0.5991827249526978
306.0,593.0,17.0,0.5984864234924316
659.0,958.0,17.0,0.5936158299446106
197.0,323.0,19.0,0.5936118960380554
183.0,720.0,19.0,0.5924311280250549
861.0,233.0,17.0,0.5899699926376343
519.0,915.0,19.0,0.5892301797866821
680.0,99.0,19.0,0.5870332717895508
558.0,677.0,17.0,0.5849842429161072
392.0,721.0,17.0,0.5836127400398254
82.0,955.0,19.0,0.5833517909049988
292.0,722.0,17.0,0.5819383263587952
499.0,963.0,17.0,0.5795461535453796
907.0,746.0,17.0,0.577377438545227
402.0,781.0,17.0,0.573859453201294
591.0,647.0,17.0,0.5733531713485718
37.0,128.0,19.0,0.5726773142814636
964.0,425.0,21.0,0.5710291266441345
978.0,569.0,17.0,0.5652377605438232
258.0,984.0,17.0,0.5635108351707458
193.0,957.0,19.0,0.5608760118484497
306.0,459.0,26.0,0.5603498220443726
87.0,375.0,17.0,0.5569469928741455
724.0,355.0,17.0,0.5566433072090149
533.0,995.0,19.0,0.5558953285217285
408.0,912.0,17.0,0.55324786901474
421.0,820.0,17.0,0.5532233715057373
693.0,306.0,21.0,0.5526747703552246
68.0,615.0,19.0,0.5526511669158936
767.0,863.0,17.0,0.5526189804077148
880.0,638.0,19.0,0.5476198792457581
209.0,832.0,17.0,0.5440014004707336
733.0,711.0,17.0,0.5430537462234497
364.0,842.0,17.0,0.5389421582221985
917.0,616.0,17.0,0.5331750512123108
433.0,510.0,17.0,0.5326525568962097
53.0,41.0,21.0,0.5312548875808716
888.0,456.0,17.0,0.5309224128723145
546.0,700.0,48.0,0.5302320122718811
343.0,195.0,17.0,0.5272942781448364
252.0,834.0,17.0,0.5270259380340576
554.0,853.0,17.0,0.5196897983551025
551.0,724.0,17.0,0.5194445848464966
781.0,681.0,17.0,0.5190539956092834
802.0,907.0,35.0,0.5166391134262085
770.0,994.0,17.0,0.5145552754402161
198.0,276.0,19.0,0.5135607123374939
636.0,903.0,19.0,0.5052177906036377
466.0,641.0,17.0,0.5038632154464722
